Country/Territory,Total (km),Electrified (km),% of the total electrified,Area (km^2),Population(per km),Historical peak length (km),Nationalized or private,Data year
Ghana,953,0,0.00%,250.30,"25,429",,,2006
Senegal,906,0,0.00%,217.12,"16,534",,,2015
United Arab Emirates,900,0,0.00%,92.8,"12,252",900,Nationalized,2023
Botswana,888,0,0.00%,655.1,"2,488",,,2014
Guatemala,1.6,0,0.00%,123.04,"16,228",799.8,Private,2004
Madagascar,848,0,0.00%,692.27,"28,573",,,2015
Guinea,837,0,0.00%,293.74,"11,926",,,2006
Gabon,810,0,0.00%,330.45,"1,858",,,2007
Malawi,797,0,0.00%,148.66,"18,696",,,2007
Congo,795,0,0.00%,430.19,5086,,Nationalized,2006
Benin,758,0,0.00%,148.58,"11,581",,,2006
Mali,729,0,0.00%,"1,701.22","22,606",,,2013
Mauritania,728,0,0.00%,"1,415.80","4,753",,Nationalized,2008
Armenia,703,703,100.00%,42.31,"4,168",,Nationalized,2016
Honduras,67,0,0.00%,160.36,"11,753",785 (1993),,2006
North Macedonia,683,313,45.83%,37.65,"3,037",,Nationalized,2017
Cambodia,650,0,0.00%,278.52,"24,994",,Nationalized,2018
Ivory Coast,639,0,0.00%,504.64,"30,889",,,2007
Burkina Faso,622,0,0.00%,440.84,"25,291",,,2006
Tajikistan,616,0,0.00%,232.31,"11,167",,Nationalized,2007
Fiji,597,0,0.00%,30.61,"1,442",,,2006
Togo,568,0,0.00%,100,"10,613",,,2006
El Salvador,562,0,0.00%,37.44,"10,221",,,2007
Philippines,532,53,10.01%,560.15,"211,800","1,352 (1940)",Nationalized,2021
Dominican Republic,517,0,0.00%,94.14,"18,141",,,2006
Liberia,490,0,0.00%,227.28,"8,151",,Private,2006
Laos,424,414,97.64%,561.2,"17,587",,Nationalized (operated by China),2021
Kyrgyzstan,417,0,0.00%,479.38,"13,446",,,2012
Panama,355,0,0.00%,212.45,"9,594",,,2006
Venezuela,336,0,0.00%,"2,714.43","87,458",1020 (1950),,2006
Albania,334,0,0.00%,86.07,"8,602",,Nationalized with private operators,2016
Eritrea,306,0,0.00%,384.31,"17,170",,Nationalized,2006
Eswatini,301,0,0.00%,57.69,"3,940",,,2008
Costa Rica,278,0,0.00%,183.81,"16,416",,,2007
Luxembourg,275,275,100.00%,9.4,"2,148",534 (1920–1940),Nationalized,2017
Hong Kong,268,268,100.00%,5.08,"33,165",,Nationalized (de facto),2014
Montenegro,250,225,90.00%,55.25,"2,490",,Nationalized,2017
South Sudan,248,0,0.00%,"2,598.10","48,864",,,
Singapore,270,270,100.00%,2.95,"24,776",,State owned infrastructure with passenger operations contracted out,2024
Suriname,166,0,0.00%,986.87,"3,163",,,2001
Niger,143,0,0.00%,"8,860.14","171,220",,Private,
Guyana,127,0,0.00%,"1,149.57","4,197",166 (1920),,2001 est.
Djibouti,92,0,0.00%,252.17,"9,203",80,,2016
Sierra Leone,84,0,0.00%,854.05,"69,857",544 (1920),,2001
Qatar,82,82,100.00%,141.11,"34,091",,,
Afghanistan,75,0,0.00%,"8,696.40","418,827",,Nationalized (operated by neighbouring countries),2011
Jamaica,65,0,0.00%,40.41,"9,948",348 (1950),,2003
Saint Kitts and Nevis,58,0,0.00%,5.22,"1,040",,,2006
Nepal,57,0,0.00%,"2,582.12","514,035",146,,2017
Paraguay,38,0,0.00%,"11,298.67","173,056",376,,2006
Mauritius,30,30,100.00%,68,"42,182",206 (1904–1928),Nationalized,2024
Puerto Rico,17,17,100.00%,143.65,"38,810",370,,2006
Brunei,13,0,0.00%,443.46,"30,692",,,2001 est.
Macau,13,13,100.00%,9.83,"6,200",13 (since 2023),Nationalized,2023
Liechtenstein,9,9,100.00%,17.78,"4,017",9 (since 1872),Nationalized (operated by Austria),2024
Nauru,3.9,0,0.00%,4.20,"2,000",,,2001
Monaco,1.7,1.7,100.00%,1.18,"20,588",3.5 (1868–1958),Nationalized (operated by France),2024
Lesotho,1.6,0,0.00%,"10,118.33","723,667",,,1995
Vatican City,0.3,0,0.00%,1.47,"3,333",0.3 (since 1934),Nationalized (operated by Italy),2024
European Union,"211,430","118,363",55.98%,20.33,"2,113.37",,Both,2017
